group,group_id,team,elo,1yr_elo_change,fifa_ranking_points,betting_odds,ave_goals_scored_per_qual_game,ave_goals_conceded_per_qual_game,ave_age_of_squad,ave_number_of_caps
a,1,italy,1844,-9,959,16,1.6,0.7,,
a,2,wales,1638,-7,839,50,1.1,0.4,,
a,3,switzerland,1753,-15,974,66,2.4,0.8,,
a,4,turkey,1797,120,983,80,1.4,0.9,,
b,1,belgium,1896,8,1352,11,2.4,0.5,,
b,2,denmark,1647,-2,724,80,1.7,0.6,,
b,3,finland,1578,85,825,350,1.6,0.8,,
b,4,russia,1747,6,821,66,2.1,0.5,,
c,1,netherlands,1738,-15,922,250,1.1,0.2,,
c,2,austria,1766,72,1067,33,2.2,0.5,,
c,3,ukraine,1797,14,880,100,1.4,0.4,,
c,4,macedonia,1578,28,632,500,1,0.5,,
d,1,england,1934,31,1069,8,3.1,0.3,,
d,2,croatia,1794,-20,856,33,2,0.5,,
d,3,czechia,1728,-24,810,80,1.9,1.4,,
d,4,scotland,1751,48,792,150,1.9,0.7,,
e,1,sweden,1735,-39,713,100,1.5,0.9,,
e,2,spain,1977,45,1277,5.5,2.3,0.3,,
e,3,slovakia,1715,-21,784,150,1.7,0.8,,
e,4,poland,1762,49,821,66,3.3,1,,
f,1,france,1947,16,907,3,2,1.42,,
f,2,germany,2037,-67,1309,3.33,2.4,0.9,,
f,3,portugal,1885,18,1184,22,1.375,0.63,,
f,4,hungary,1671,49,925,350,1,0.63,,
